,experiment_name,model_parameters,GFLOPs,precision,recall,F1,map50,map50_95,fitness,preprocessing_time,inference_time,postprocessing_time,time_loss,total_time
0,Lila.v1.3k_y8n_ep100,3005843,8.0852,0.9642,0.8422,0.8991,0.9136,0.7127,0.7328,0.1893,0.3956,0.7118,0.0003,1.297
1,Lila.v1.3k_y8s_ep100,11125971,28.4377,0.9601,0.8709,0.9133,0.9377,0.7501,0.7688,0.2141,0.7052,0.3597,0.0004,1.2793
2,Lila.v1.3k_y8m_ep100,25840339,78.6887,0.9464,0.8869,0.9157,0.9454,0.7706,0.7881,0.1519,1.4247,0.371,0.0004,1.948
3,Lila.v1.3k_y9t_ep100,1970979,7.5986,0.952,0.8492,0.8977,0.9215,0.7178,0.7382,0.2048,0.7413,0.3924,0.0003,1.3388
4,Lila.v1.3k_y9s_ep100,7167475,26.7288,0.9681,0.8845,0.9244,0.9444,0.7587,0.7773,0.2319,0.9416,0.3844,0.0004,1.5583
5,Lila.v1.3k_y9m_ep100,20013715,76.5132,0.9643,0.8804,0.9205,0.948,0.7659,0.7842,0.2135,1.5221,0.4391,0.0004,2.1751
6,Lila.v1.3k_y10n_ep100,2265363,6.5279,0.9573,0.8329,0.8908,0.9163,0.7059,0.7269,0.2315,0.4228,0.0459,0.0003,0.7006
7,Lila.v1.3k_y10s_ep100,7218387,21.4148,0.9633,0.8554,0.9062,0.9323,0.7367,0.7563,0.2088,0.6813,0.0443,0.0003,0.9347
8,Lila.v1.3k_y10m_ep100,15313747,58.8501,0.9697,0.8601,0.9116,0.9409,0.755,0.7736,0.2235,1.3154,0.0645,0.0009,1.6043
9,Lila.v1.3k_y11n_ep100,2582347,6.313,0.9515,0.8531,0.8996,0.9258,0.7176,0.7384,0.2072,0.4647,0.3391,0.0003,1.0114
10,Lila.v1.3k_y11s_ep100,9413187,21.3019,0.9371,0.8905,0.9132,0.9457,0.7501,0.7696,0.2274,0.694,0.3825,0.0003,1.3042
11,Lila.v1.3k_y11m_ep100,20030803,67.65,0.9698,0.8728,0.9187,0.9506,0.764,0.7826,0.2077,1.3767,0.411,0.0004,1.9957
