epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1458.34,2.69074,11.8026,2.92066,0.59334,0.49252,0.52386,0.2497,3.40227,4.19047,4.20546,0.000664062,0.000664062,0.000664062
2,2799.11,3.08998,2.65442,3.21755,0.65904,0.69797,0.68571,0.33074,3.31265,2.99913,3.55064,0.00119899,0.00119899,0.00119899
3,3941.31,2.82643,2.38466,3.05612,0.74956,0.78243,0.81848,0.50586,2.62477,1.87932,2.94607,0.00160191,0.00160191,0.00160191
4,5113.28,2.64182,2.0843,2.88174,0.77864,0.7142,0.78822,0.49371,2.45339,1.97639,2.79667,0.001406,0.001406,0.001406
5,6090.58,2.44325,1.87988,2.72438,0.85845,0.81472,0.89605,0.5576,2.30865,1.61504,2.69472,0.001208,0.001208,0.001208
6,7261.47,2.29832,1.67156,2.62533,0.90051,0.82234,0.92537,0.65608,2.03914,1.24919,2.47064,0.00101,0.00101,0.00101
7,8392.7,2.11975,1.42632,2.52381,0.89336,0.84772,0.94017,0.67502,1.96114,1.17355,2.44765,0.000812,0.000812,0.000812
8,9392.78,1.92364,1.26531,2.37865,0.89117,0.86802,0.94732,0.7268,1.74067,1.02216,2.27752,0.000614,0.000614,0.000614
9,10338.9,1.77448,1.11111,2.28023,0.91668,0.92145,0.96861,0.75689,1.63324,0.87231,2.19516,0.000416,0.000416,0.000416
10,11588.9,1.66491,1.02749,2.2162,0.96015,0.90355,0.97395,0.77382,1.52986,0.7929,2.14447,0.000218,0.000218,0.000218
