epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4798,1.0365,2.08584,1.23552,0.98257,0.28624,0.72569,0.49774,0.88742,2.57025,1.23888,0.00062,0.00062,0.00062
2,16.3372,1.10019,1.35578,1.26059,0.27804,0.27919,0.18487,0.08265,1.49347,2.96141,2.17464,0.00124753,0.00124753,0.00124753
3,20.9416,1.18721,1.249,1.31582,0.02098,0.0203,0.00545,0.0019,2.91118,4.94797,3.72571,0.00186238,0.00186238,0.00186238
4,27.0307,1.25062,1.19156,1.34645,0.24487,0.20558,0.13889,0.06057,2.57275,3.21235,3.14118,0.0019406,0.0019406,0.0019406
5,32.3612,1.20852,1.04702,1.32717,0.472,0.50508,0.4487,0.23915,1.53874,4.58313,1.95241,0.0019208,0.0019208,0.0019208
6,36.9015,1.15159,0.94824,1.29063,0.4359,0.46954,0.41799,0.23871,1.54742,3.41516,2.1194,0.001901,0.001901,0.001901
7,41.3589,1.12137,0.88521,1.27062,0.71209,0.67796,0.72634,0.45278,1.44424,1.49444,1.79719,0.0018812,0.0018812,0.0018812
8,45.887,1.0925,0.87097,1.25812,0.86844,0.77919,0.89424,0.60609,1.11239,1.15871,1.45697,0.0018614,0.0018614,0.0018614
9,50.4518,1.05315,0.81155,1.23145,0.89834,0.88325,0.93592,0.66076,1.03943,0.90869,1.37148,0.0018416,0.0018416,0.0018416
10,54.963,1.02859,0.79244,1.2225,0.91214,0.90102,0.94822,0.68856,0.97745,0.79783,1.32752,0.0018218,0.0018218,0.0018218
11,59.4424,1.01454,0.76478,1.20868,0.82236,0.705,0.82764,0.57867,1.1484,1.22292,1.48392,0.001802,0.001802,0.001802
12,63.9179,1.00522,0.76123,1.19381,0.88073,0.88085,0.92725,0.63635,1.12596,0.80077,1.43448,0.0017822,0.0017822,0.0017822
13,68.6006,0.99691,0.73585,1.19581,0.92864,0.89185,0.95672,0.69646,0.9476,0.61929,1.26979,0.0017624,0.0017624,0.0017624
14,73.0991,0.96224,0.70807,1.17456,0.94603,0.90355,0.96902,0.71067,0.94472,0.70471,1.31645,0.0017426,0.0017426,0.0017426
15,77.5841,0.93524,0.67803,1.1592,0.95382,0.94352,0.98073,0.72789,0.89985,0.58829,1.24919,0.0017228,0.0017228,0.0017228
16,82.0577,0.91938,0.67245,1.15113,0.85695,0.7665,0.86473,0.58536,1.12881,1.18658,1.42247,0.001703,0.001703,0.001703
17,86.5367,0.94746,0.67393,1.16376,0.93608,0.90863,0.96171,0.73026,0.86247,0.61366,1.21376,0.0016832,0.0016832,0.0016832
18,91.0295,0.91016,0.65509,1.14863,0.9531,0.92851,0.97998,0.75325,0.82911,0.63872,1.16584,0.0016634,0.0016634,0.0016634
19,95.5848,0.92348,0.65382,1.15373,0.93738,0.9118,0.96441,0.73368,0.88891,0.65092,1.25369,0.0016436,0.0016436,0.0016436
20,100.114,0.89312,0.63516,1.14229,0.92767,0.94405,0.97759,0.72214,0.89098,0.57919,1.24894,0.0016238,0.0016238,0.0016238
21,105.109,0.90376,0.63704,1.13846,0.94922,0.9489,0.98111,0.7356,0.91624,0.54761,1.24481,0.001604,0.001604,0.001604
22,110.038,0.88152,0.63123,1.13385,0.95788,0.95178,0.98224,0.75732,0.818,0.53198,1.16223,0.0015842,0.0015842,0.0015842
23,114.622,0.85826,0.61636,1.10947,0.95672,0.93909,0.98131,0.76015,0.86591,0.51047,1.20371,0.0015644,0.0015644,0.0015644
24,119.111,0.87022,0.60829,1.12263,0.95219,0.93655,0.97403,0.73308,0.87754,0.53724,1.25894,0.0015446,0.0015446,0.0015446
25,123.644,0.86095,0.60653,1.12098,0.95611,0.9399,0.98399,0.75827,0.84383,0.51869,1.19685,0.0015248,0.0015248,0.0015248
