epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.035,1.04221,1.98279,1.25035,0.62169,0.59645,0.65402,0.38502,1.4091,2.04714,1.69078,0.000664062,0.000664062,0.000664062
2,321.347,1.20999,1.46087,1.3676,0.79774,0.76142,0.83055,0.48591,1.31712,1.54196,1.474,0.00119899,0.00119899,0.00119899
3,486.635,1.19172,1.17217,1.36998,0.86978,0.8476,0.90548,0.60983,1.07556,0.99971,1.31546,0.00160191,0.00160191,0.00160191
4,661.109,1.15951,0.99747,1.34427,0.93617,0.89345,0.9548,0.65023,1.03712,0.78568,1.2697,0.001406,0.001406,0.001406
5,811.396,1.07163,0.85119,1.28228,0.91668,0.92148,0.96783,0.70875,0.8999,0.6823,1.17892,0.001208,0.001208,0.001208
6,963.346,0.98184,0.74426,1.21208,0.93366,0.89296,0.95739,0.68345,0.94287,0.66698,1.20972,0.00101,0.00101,0.00101
7,1118.76,0.95837,0.68766,1.19242,0.95593,0.94924,0.98178,0.74636,0.82694,0.55018,1.12073,0.000812,0.000812,0.000812
8,1266.8,0.86407,0.60958,1.13055,0.95266,0.97038,0.98612,0.75947,0.77714,0.52532,1.08656,0.000614,0.000614,0.000614
9,1425.07,0.80875,0.55593,1.09304,0.968,0.94416,0.98479,0.78943,0.71889,0.46442,1.04313,0.000416,0.000416,0.000416
10,1571.78,0.74656,0.50057,1.05526,0.97349,0.96447,0.98678,0.80186,0.70274,0.43478,1.05089,0.000218,0.000218,0.000218
