epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.921,1.04212,1.79357,1.24935,0.806,0.86466,0.89984,0.57966,1.08516,1.40347,1.32935,0.000664062,0.000664062,0.000664062
2,223.489,1.17036,1.32054,1.35093,0.83434,0.86294,0.89617,0.56124,1.18482,1.13166,1.41385,0.00119899,0.00119899,0.00119899
3,326.766,1.13764,1.04809,1.32509,0.90322,0.87817,0.93473,0.6302,1.10096,0.85378,1.32854,0.00160191,0.00160191,0.00160191
4,430.28,1.11061,0.92244,1.31391,0.84936,0.88728,0.93558,0.62686,1.09868,0.8724,1.3548,0.001406,0.001406,0.001406
5,536.125,1.04716,0.80277,1.26381,0.93222,0.94244,0.97182,0.7155,0.91741,0.66728,1.19425,0.001208,0.001208,0.001208
6,640.997,0.97066,0.70828,1.20775,0.94804,0.92611,0.97453,0.70969,0.91249,0.62767,1.21238,0.00101,0.00101,0.00101
7,746.403,0.88678,0.62879,1.14678,0.95782,0.92205,0.97452,0.75098,0.84889,0.56542,1.13844,0.000812,0.000812,0.000812
8,850.107,0.82063,0.56549,1.0959,0.95476,0.96415,0.98181,0.77404,0.77825,0.49508,1.09982,0.000614,0.000614,0.000614
9,954.881,0.77279,0.52201,1.06759,0.97488,0.95431,0.98888,0.776,0.77462,0.46919,1.08472,0.000416,0.000416,0.000416
10,1062.83,0.72279,0.47177,1.03753,0.97452,0.97073,0.98863,0.80373,0.69898,0.41744,1.04595,0.000218,0.000218,0.000218
