epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9438,2.64243,8.47123,2.32031,0.00242,0.51087,0.04722,0.03091,2.89291,10.1323,2.42811,0.00064,0.00064,0.00064
2,25.1698,2.79065,5.94246,2.36643,0.9615,0.1018,0.32032,0.15875,3.3813,9.512,3.19589,0.00128713,0.00128713,0.00128713
3,32.1026,2.95869,4.33028,2.44632,0.05024,0.01766,0.00844,0.00293,5.07822,7.93675,4.66877,0.00192119,0.00192119,0.00192119
4,39.3596,3.08161,3.42766,2.4953,0.04805,0.09783,0.01333,0.00503,4.35447,9.74861,3.90681,0.0019406,0.0019406,0.0019406
5,46.0751,2.98978,2.8262,2.45952,0.59395,0.4606,0.46932,0.24613,3.14961,3.97001,2.81564,0.0019208,0.0019208,0.0019208
6,52.8354,2.8689,2.55025,2.41272,0.58337,0.48505,0.48813,0.24796,3.2085,3.68486,2.83816,0.001901,0.001901,0.001901
7,59.6758,2.79569,2.34154,2.36755,0.70247,0.37636,0.42599,0.24692,3.19806,4.39508,2.68846,0.0018812,0.0018812,0.0018812
8,66.2948,2.71671,2.21536,2.32402,0.7397,0.58424,0.64912,0.40155,2.60878,2.47399,2.33261,0.0018614,0.0018614,0.0018614
9,73.1112,2.64285,2.11405,2.31152,0.67824,0.49835,0.55649,0.33129,2.94972,3.45579,2.57748,0.0018416,0.0018416,0.0018416
10,80.1179,2.57505,1.973,2.27304,0.76195,0.62772,0.69914,0.40805,2.77737,3.33637,2.48557,0.0018218,0.0018218,0.0018218
11,86.7527,2.60003,1.97016,2.27886,0.81937,0.6087,0.7053,0.45012,2.56365,2.13209,2.30494,0.001802,0.001802,0.001802
12,93.5128,2.52064,1.93301,2.2415,0.77113,0.5173,0.59932,0.38064,2.87345,2.71038,2.4851,0.0017822,0.0017822,0.0017822
13,100.631,2.46246,1.84658,2.20946,0.67903,0.55027,0.57963,0.3723,2.58969,2.8576,2.35272,0.0017624,0.0017624,0.0017624
14,107.194,2.56561,1.88874,2.2515,0.83115,0.68886,0.76459,0.50214,2.38255,2.08219,2.2212,0.0017426,0.0017426,0.0017426
15,114.008,2.43317,1.78787,2.19823,0.7707,0.59783,0.68492,0.44784,2.53595,2.71187,2.30301,0.0017228,0.0017228,0.0017228
16,120.657,2.40795,1.74302,2.17653,0.74267,0.52989,0.60626,0.40082,2.51123,2.64882,2.30115,0.001703,0.001703,0.001703
17,127.788,2.39432,1.7449,2.18709,0.83657,0.67391,0.75415,0.49794,2.40025,1.91655,2.23957,0.0016832,0.0016832,0.0016832
18,134.558,2.37119,1.65711,2.17214,0.88243,0.65264,0.7644,0.49088,2.56062,1.81585,2.2825,0.0016634,0.0016634,0.0016634
19,141.312,2.36716,1.68687,2.16384,0.82407,0.4769,0.58252,0.35517,2.76577,3.1214,2.42278,0.0016436,0.0016436,0.0016436
20,148.394,2.33455,1.64856,2.15786,0.84594,0.59647,0.70203,0.45648,2.57845,2.27297,2.33859,0.0016238,0.0016238,0.0016238
21,155.179,2.32547,1.6604,2.167,0.90671,0.67799,0.78103,0.5207,2.31115,1.85308,2.22351,0.001604,0.001604,0.001604
22,162.039,2.27886,1.6028,2.15068,0.86181,0.65353,0.75065,0.51477,2.27122,1.98317,2.20063,0.0015842,0.0015842,0.0015842
23,169.069,2.26264,1.54892,2.13702,0.87255,0.54484,0.62011,0.43031,2.41925,2.94541,2.35765,0.0015644,0.0015644,0.0015644
24,175.803,2.22837,1.51398,2.14254,0.86933,0.68207,0.75977,0.52689,2.25045,1.95281,2.18644,0.0015446,0.0015446,0.0015446
25,182.668,2.23061,1.5519,2.12684,0.87905,0.69124,0.77883,0.53148,2.3213,1.76841,2.21351,0.0015248,0.0015248,0.0015248
26,189.533,2.2105,1.52938,2.10167,0.85241,0.75679,0.80513,0.56455,2.29035,1.62286,2.19473,0.001505,0.001505,0.001505
27,196.632,2.17408,1.45995,2.1067,0.87172,0.72016,0.81072,0.5681,2.12603,1.63136,2.14474,0.0014852,0.0014852,0.0014852
28,203.482,2.17348,1.48701,2.10727,0.86994,0.70516,0.78504,0.54836,2.21542,1.695,2.16488,0.0014654,0.0014654,0.0014654
29,210.231,2.16268,1.4587,2.09114,0.88901,0.72914,0.83358,0.57617,2.15914,1.599,2.1286,0.0014456,0.0014456,0.0014456
30,217.224,2.17594,1.43919,2.10051,0.91279,0.7269,0.82561,0.5931,2.18202,1.48613,2.12906,0.0014258,0.0014258,0.0014258
31,223.839,2.12459,1.41871,2.06769,0.89852,0.74728,0.83468,0.60733,2.03951,1.41202,2.07528,0.001406,0.001406,0.001406
32,230.522,2.11758,1.41512,2.07359,0.88947,0.67788,0.7799,0.56881,2.07443,1.83741,2.11498,0.0013862,0.0013862,0.0013862
33,237.219,2.10468,1.36759,2.04919,0.84099,0.70245,0.79515,0.55333,2.20336,1.68045,2.16572,0.0013664,0.0013664,0.0013664
34,243.714,2.12138,1.37599,2.0781,0.88048,0.7106,0.79988,0.54206,2.23392,1.65718,2.15458,0.0013466,0.0013466,0.0013466
35,250.177,2.09666,1.35895,2.04323,0.85507,0.64946,0.75572,0.52393,2.32431,1.94833,2.18448,0.0013268,0.0013268,0.0013268
36,256.936,2.09935,1.37697,2.04527,0.87951,0.7106,0.80185,0.56697,2.1324,1.73662,2.12593,0.001307,0.001307,0.001307
37,263.368,2.06915,1.33531,2.04495,0.89533,0.74457,0.83187,0.5976,2.04024,1.45496,2.08953,0.0012872,0.0012872,0.0012872
38,269.855,2.07315,1.33775,2.05509,0.92027,0.72962,0.84282,0.61074,1.94218,1.38714,2.02217,0.0012674,0.0012674,0.0012674
39,276.648,2.04467,1.32623,2.03985,0.93179,0.74728,0.85062,0.61489,1.97033,1.37498,2.0343,0.0012476,0.0012476,0.0012476
