epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2017,1.29384,2.55235,1.15636,0.0038,0.80163,0.14742,0.08887,1.29269,3.3453,1.16764,0.00064,0.00064,0.00064
2,25.5168,1.28405,1.62519,1.15925,0.74775,0.41081,0.48253,0.27312,1.43429,2.53775,1.30778,0.00128713,0.00128713,0.00128713
3,32.6282,1.32026,1.40558,1.19043,0.60855,0.33424,0.36463,0.20817,1.60936,2.29884,1.55207,0.00192119,0.00192119,0.00192119
4,40.0596,1.34045,1.23698,1.1849,0.6199,0.28585,0.32525,0.17195,1.73859,2.56424,1.59258,0.0019406,0.0019406,0.0019406
5,46.8229,1.33096,1.08512,1.19422,0.69759,0.38995,0.40827,0.24004,1.5727,2.12691,1.49789,0.0019208,0.0019208,0.0019208
6,53.0823,1.27264,1.01634,1.17365,0.65698,0.5,0.53433,0.32845,1.43564,1.87459,1.33669,0.001901,0.001901,0.001901
7,59.5752,1.23364,0.93739,1.15205,0.85227,0.49864,0.57903,0.36967,1.32031,1.44205,1.25914,0.0018812,0.0018812,0.0018812
8,66.0249,1.20519,0.9158,1.13877,0.85556,0.63587,0.72519,0.4347,1.3032,1.03526,1.23859,0.0018614,0.0018614,0.0018614
9,72.6335,1.19995,0.90628,1.13705,0.82979,0.68887,0.74144,0.47169,1.19087,1.55426,1.17412,0.0018416,0.0018416,0.0018416
10,79.2536,1.17237,0.84504,1.1168,0.67561,0.62228,0.58515,0.39254,1.12858,1.42994,1.11356,0.0018218,0.0018218,0.0018218
11,85.7007,1.15407,0.81999,1.10632,0.85448,0.64623,0.72137,0.4656,1.19469,0.99999,1.16955,0.001802,0.001802,0.001802
12,92.6501,1.13242,0.82346,1.10003,0.8567,0.61735,0.69862,0.45253,1.27601,1.83873,1.21802,0.0017822,0.0017822,0.0017822
13,99.3874,1.11079,0.77365,1.08762,0.89214,0.69429,0.79674,0.51563,1.15975,0.8439,1.14899,0.0017624,0.0017624,0.0017624
14,105.805,1.13895,0.79255,1.10454,0.904,0.68478,0.78925,0.53052,1.11867,0.81206,1.13972,0.0017426,0.0017426,0.0017426
15,112.541,1.09086,0.74903,1.08208,0.86173,0.71739,0.80804,0.53592,1.06436,0.81729,1.08679,0.0017228,0.0017228,0.0017228
16,118.927,1.07742,0.72579,1.0718,0.87832,0.71196,0.78644,0.52867,1.09342,0.9532,1.10761,0.001703,0.001703,0.001703
17,125.928,1.06536,0.7395,1.06846,0.91899,0.71196,0.80865,0.54729,1.0668,0.97264,1.08986,0.0016832,0.0016832,0.0016832
18,132.424,1.06462,0.72086,1.07213,0.91906,0.71739,0.76523,0.53425,1.06304,1.15141,1.09431,0.0016634,0.0016634,0.0016634
19,139.113,1.07981,0.73157,1.06983,0.89607,0.74864,0.81604,0.554,1.06093,0.84841,1.09511,0.0016436,0.0016436,0.0016436
20,145.755,1.06495,0.71998,1.07345,0.89839,0.7269,0.81352,0.54106,1.09096,0.82022,1.09025,0.0016238,0.0016238,0.0016238
21,152.737,1.05378,0.70833,1.06553,0.88119,0.69536,0.81162,0.54302,1.08181,0.79009,1.09499,0.001604,0.001604,0.001604
22,159.558,1.02104,0.6963,1.05607,0.7614,0.61277,0.69198,0.46805,1.13786,1.08869,1.1301,0.0015842,0.0015842,0.0015842
23,166.103,1.02154,0.6827,1.05448,0.93359,0.70673,0.81171,0.56156,1.07543,0.74573,1.09554,0.0015644,0.0015644,0.0015644
24,172.728,1.00586,0.67197,1.05091,0.91024,0.76359,0.84704,0.60981,0.99066,0.68823,1.05324,0.0015446,0.0015446,0.0015446
25,179.727,1.0121,0.67423,1.04915,0.90882,0.70426,0.79635,0.56437,1.00416,0.75806,1.04643,0.0015248,0.0015248,0.0015248
26,186.339,0.99775,0.66697,1.03444,0.93136,0.79275,0.87792,0.61839,0.96128,0.63721,1.03218,0.001505,0.001505,0.001505
27,192.999,0.97912,0.65288,1.03616,0.93372,0.75408,0.84496,0.59227,1.00772,0.72921,1.04294,0.0014852,0.0014852,0.0014852
28,199.669,0.98826,0.65224,1.04019,0.9179,0.79891,0.87885,0.63085,0.94792,0.62388,1.03053,0.0014654,0.0014654,0.0014654
29,206.468,0.97316,0.63401,1.02916,0.9295,0.77027,0.86069,0.60719,0.96563,0.71195,1.02724,0.0014456,0.0014456,0.0014456
30,212.958,0.96749,0.63951,1.03279,0.93941,0.77446,0.85371,0.61081,0.97163,0.70614,1.04483,0.0014258,0.0014258,0.0014258
31,219.178,0.95048,0.63024,1.01651,0.88992,0.76359,0.85388,0.59489,1.00463,0.66792,1.06643,0.001406,0.001406,0.001406
32,225.788,0.95399,0.62997,1.01979,0.9249,0.78646,0.87518,0.62657,0.91741,0.64233,1.02125,0.0013862,0.0013862,0.0013862
33,232.41,0.93708,0.60983,1.014,0.89915,0.80299,0.86585,0.62432,0.94641,0.67322,1.05013,0.0013664,0.0013664,0.0013664
