epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7229,1.26003,4.61464,1.24349,0.64614,0.46332,0.50169,0.29889,1.53847,3.96408,1.45387,0.00064,0.00064,0.00064
2,32.1406,1.27456,1.14511,1.21224,0,0,0,0,nan,nan,nan,0.00128713,0.00128713,0.00128713
3,39.8478,1.37321,1.15179,1.26139,0.00201,0.11141,0.00112,0.00039,nan,nan,nan,0.00192119,0.00192119,0.00192119
4,47.6368,1.3883,1.11121,1.26621,0.302,0.3913,0.18064,0.09008,1.74764,8.50333,1.7178,0.0019406,0.0019406,0.0019406
5,55.246,1.32532,1.02421,1.23169,0.74983,0.52174,0.57166,0.32148,1.55402,2.68035,1.66278,0.0019208,0.0019208,0.0019208
6,62.9853,1.26461,0.94624,1.19824,0.81855,0.55776,0.64242,0.4092,1.30642,3.61043,1.36797,0.001901,0.001901,0.001901
7,70.5863,1.22062,0.89987,1.17647,0.81436,0.61005,0.68809,0.44639,1.23122,1.45952,1.24399,0.0018812,0.0018812,0.0018812
8,78.2541,1.20123,0.8699,1.17212,0.50348,0.6087,0.42604,0.24199,1.3286,1.70178,1.32362,0.0018614,0.0018614,0.0018614
9,85.884,1.17766,0.86447,1.16007,0.93062,0.59375,0.72413,0.48953,1.13164,2.48684,1.17443,0.0018416,0.0018416,0.0018416
10,93.5307,1.12601,0.79226,1.12846,0.85674,0.7038,0.78463,0.51298,1.12164,1.10321,1.18403,0.0018218,0.0018218,0.0018218
11,101.175,1.13814,0.7834,1.13306,0.89219,0.64674,0.74933,0.49667,1.19425,0.95733,1.20298,0.001802,0.001802,0.001802
12,108.812,1.09909,0.76582,1.11668,0.9442,0.64374,0.762,0.51902,1.13396,1.24406,1.17197,0.0017822,0.0017822,0.0017822
13,116.507,1.09294,0.73963,1.11296,0.92406,0.73913,0.83466,0.57911,1.02327,0.7463,1.13488,0.0017624,0.0017624,0.0017624
14,124.13,1.08068,0.7293,1.10743,0.87399,0.71467,0.79233,0.52001,1.13268,0.84851,1.18168,0.0017426,0.0017426,0.0017426
15,131.726,1.05834,0.7114,1.095,0.91896,0.73951,0.83323,0.56837,1.01026,0.7197,1.11042,0.0017228,0.0017228,0.0017228
16,139.371,1.04895,0.70001,1.08652,0.90407,0.76087,0.84457,0.58085,1.07622,0.86172,1.15309,0.001703,0.001703,0.001703
17,147.064,1.03509,0.70118,1.08471,0.92441,0.74049,0.83586,0.58189,0.99691,0.68174,1.10992,0.0016832,0.0016832,0.0016832
18,154.716,1.02307,0.67212,1.07912,0.90584,0.76223,0.85453,0.5916,1.04145,0.68711,1.12885,0.0016634,0.0016634,0.0016634
19,162.401,1.01547,0.67874,1.06969,0.91782,0.77394,0.85865,0.61217,0.97499,0.6689,1.08302,0.0016436,0.0016436,0.0016436
20,170.077,1.00471,0.65518,1.07256,0.91158,0.75,0.84041,0.59585,0.98212,0.68414,1.0996,0.0016238,0.0016238,0.0016238
21,177.755,1.00255,0.66089,1.0748,0.89618,0.77403,0.84385,0.59657,0.98647,0.68951,1.09581,0.001604,0.001604,0.001604
22,185.439,0.97679,0.64526,1.05745,0.9065,0.82065,0.87887,0.63102,0.91799,0.63069,1.06984,0.0015842,0.0015842,0.0015842
23,193.109,0.95957,0.62403,1.05314,0.91496,0.82065,0.88573,0.6362,0.91465,0.59089,1.0582,0.0015644,0.0015644,0.0015644
24,200.788,0.94927,0.61565,1.05142,0.8996,0.77717,0.86694,0.62848,0.94071,0.66185,1.0788,0.0015446,0.0015446,0.0015446
25,208.474,0.94384,0.61567,1.05344,0.89871,0.69923,0.80856,0.57228,1.0108,0.76221,1.12629,0.0015248,0.0015248,0.0015248
26,216.207,0.93592,0.61267,1.03839,0.91194,0.79484,0.86999,0.62097,0.96387,0.67216,1.08227,0.001505,0.001505,0.001505
27,223.862,0.92947,0.59249,1.04286,0.92249,0.77989,0.85852,0.60736,0.97458,0.6472,1.09407,0.0014852,0.0014852,0.0014852
28,231.535,0.94311,0.61698,1.05154,0.95108,0.76359,0.85949,0.6391,0.88697,0.58751,1.05509,0.0014654,0.0014654,0.0014654
29,239.188,0.92341,0.58273,1.03569,0.9276,0.71332,0.79662,0.57251,0.9785,0.79454,1.0899,0.0014456,0.0014456,0.0014456
