epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2413,1.28107,1.88884,1.35169,0.00056,0.11821,0.00032,0.00014,nan,nan,nan,0.00065641,0.00065641,0.00065641
2,54.7471,1.68527,1.6031,1.61633,0.1799,0.00272,0.00831,0.00341,nan,nan,nan,0.00130998,0.00130998,0.00130998
3,81.409,1.5746,1.41477,1.52815,0.01525,0.27174,0.00721,0.0025,nan,nan,nan,0.00195035,0.00195035,0.00195035
4,107.771,1.58073,1.4019,1.54831,0.2443,0.26766,0.10846,0.05686,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,134.346,1.43109,1.22344,1.43898,0.62497,0.40076,0.43469,0.257,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,161.061,1.41736,1.16214,1.43857,0.66573,0.40861,0.44426,0.26781,1.5339,2.1521,1.59634,0.001901,0.001901,0.001901
7,187.784,1.34795,1.06067,1.37693,0.77862,0.48777,0.54961,0.34258,1.47954,1.51051,1.50523,0.0018812,0.0018812,0.0018812
8,214.524,1.26211,0.97616,1.3287,0.8354,0.58832,0.67586,0.43578,1.36645,1.2901,1.48713,0.0018614,0.0018614,0.0018614
9,241.261,1.2475,0.95272,1.31604,0.85848,0.62364,0.71888,0.48256,1.15778,1.04461,1.31885,0.0018416,0.0018416,0.0018416
10,267.991,1.21222,0.91932,1.29412,0.84863,0.63984,0.71253,0.46311,1.24694,1.12525,1.359,0.0018218,0.0018218,0.0018218
11,294.346,1.17431,0.87303,1.2802,0.8431,0.69356,0.76295,0.5083,1.14913,0.93257,1.31338,0.001802,0.001802,0.001802
12,321.094,1.14079,0.82603,1.2566,0.83481,0.70725,0.76931,0.51442,1.14372,1.02651,1.31602,0.0017822,0.0017822,0.0017822
13,347.806,1.13025,0.84309,1.24808,0.84904,0.66984,0.74872,0.49183,1.1804,1.00782,1.33913,0.0017624,0.0017624,0.0017624
14,374.239,1.11339,0.80537,1.24923,0.88836,0.69837,0.78461,0.54222,1.12711,0.88358,1.27446,0.0017426,0.0017426,0.0017426
15,400.875,1.10991,0.80898,1.23571,0.88162,0.73867,0.804,0.55452,1.08733,0.78257,1.2667,0.0017228,0.0017228,0.0017228
16,427.564,1.08737,0.78069,1.22859,0.88356,0.71141,0.80001,0.55353,1.06317,0.85774,1.25375,0.001703,0.001703,0.001703
17,453.849,1.02979,0.73624,1.20113,0.89822,0.71739,0.80284,0.54795,1.09544,0.80904,1.30213,0.0016832,0.0016832,0.0016832
18,480.254,1.03633,0.73017,1.19386,0.85131,0.72554,0.80084,0.56303,1.04963,0.76318,1.23893,0.0016634,0.0016634,0.0016634
19,506.947,1.03471,0.7342,1.18867,0.92235,0.77853,0.85093,0.59056,1.02239,0.67179,1.21057,0.0016436,0.0016436,0.0016436
20,533.616,1.01594,0.70764,1.17751,0.88876,0.73505,0.79764,0.54248,1.11351,0.93887,1.2856,0.0016238,0.0016238,0.0016238
21,559.919,1.00533,0.69909,1.18183,0.90302,0.75913,0.83456,0.58995,1.00902,0.76857,1.22817,0.001604,0.001604,0.001604
22,586.298,0.99036,0.66653,1.16478,0.90933,0.79755,0.86288,0.61863,0.96117,0.69476,1.18935,0.0015842,0.0015842,0.0015842
23,612.971,0.97775,0.66454,1.16027,0.91096,0.77842,0.85358,0.61868,0.96175,0.66784,1.19777,0.0015644,0.0015644,0.0015644
24,639.413,0.9674,0.64973,1.14841,0.91376,0.68886,0.79671,0.56148,1.04057,0.79044,1.251,0.0015446,0.0015446,0.0015446
25,665.843,0.95261,0.65399,1.15481,0.92107,0.76766,0.84719,0.62649,0.92993,0.63519,1.18363,0.0015248,0.0015248,0.0015248
26,692.536,0.95651,0.63539,1.14825,0.90726,0.74185,0.83209,0.58068,1.05317,0.74229,1.26349,0.001505,0.001505,0.001505
27,718.839,0.93806,0.645,1.13934,0.90371,0.75136,0.83987,0.61423,0.96232,0.69053,1.19464,0.0014852,0.0014852,0.0014852
28,745.232,0.92063,0.62298,1.12461,0.89933,0.70516,0.79917,0.59289,0.99897,0.80791,1.21141,0.0014654,0.0014654,0.0014654
29,771.619,0.90802,0.60732,1.12513,0.91046,0.71332,0.80194,0.57222,0.99007,0.76968,1.20416,0.0014456,0.0014456,0.0014456
30,797.951,0.91815,0.62144,1.12591,0.92913,0.7481,0.82734,0.61739,0.91028,0.72164,1.14085,0.0014258,0.0014258,0.0014258
31,824.317,0.92012,0.61483,1.13142,0.92372,0.78668,0.85496,0.62189,0.9496,0.70096,1.18822,0.001406,0.001406,0.001406
32,850.686,0.89995,0.58952,1.10656,0.92055,0.81386,0.88449,0.65042,0.88938,0.57601,1.14485,0.0013862,0.0013862,0.0013862
33,877.384,0.88518,0.56492,1.10628,0.9295,0.77717,0.86695,0.63589,0.886,0.63573,1.1326,0.0013664,0.0013664,0.0013664
34,903.801,0.87548,0.57359,1.09631,0.9242,0.75815,0.84646,0.6154,0.92801,0.66611,1.17744,0.0013466,0.0013466,0.0013466
35,930.139,0.85525,0.55718,1.08956,0.93536,0.7894,0.87582,0.64551,0.8894,0.6153,1.145,0.0013268,0.0013268,0.0013268
36,956.558,0.84634,0.54983,1.08663,0.92489,0.81522,0.87853,0.65824,0.8467,0.55396,1.12729,0.001307,0.001307,0.001307
37,983.2,0.86486,0.56802,1.09504,0.92084,0.77174,0.87008,0.63472,0.91826,0.64881,1.15785,0.0012872,0.0012872,0.0012872
38,1009.61,0.85212,0.56751,1.08694,0.93047,0.81821,0.89811,0.66934,0.86639,0.55768,1.13853,0.0012674,0.0012674,0.0012674
39,1036.3,0.83321,0.53394,1.07632,0.93878,0.83345,0.88949,0.65754,0.87483,0.56707,1.14476,0.0012476,0.0012476,0.0012476
40,1062.66,0.83267,0.54605,1.07315,0.93919,0.80978,0.88298,0.67603,0.83262,0.59533,1.10088,0.0012278,0.0012278,0.0012278
41,1089.4,0.83137,0.53126,1.07779,0.93834,0.8356,0.89999,0.68173,0.82271,0.54403,1.09895,0.001208,0.001208,0.001208
42,1116.16,0.83368,0.5272,1.07571,0.94026,0.82473,0.90188,0.68421,0.84047,0.56411,1.12246,0.0011882,0.0011882,0.0011882
43,1142.81,0.82572,0.51887,1.069,0.94233,0.82137,0.89568,0.67571,0.84051,0.55754,1.11565,0.0011684,0.0011684,0.0011684
44,1169.17,0.8026,0.51717,1.0651,0.92845,0.8125,0.88758,0.66919,0.83834,0.57937,1.12293,0.0011486,0.0011486,0.0011486
45,1195.53,0.79842,0.49896,1.05402,0.90967,0.84783,0.8945,0.66961,0.83662,0.5048,1.11092,0.0011288,0.0011288,0.0011288
46,1221.93,0.79947,0.50127,1.05107,0.94207,0.81752,0.9022,0.67417,0.82319,0.54468,1.09965,0.001109,0.001109,0.001109
47,1248.26,0.78847,0.49923,1.05723,0.92843,0.8108,0.8887,0.68568,0.81237,0.58329,1.08762,0.0010892,0.0010892,0.0010892
48,1274.92,0.77937,0.49679,1.04632,0.89845,0.83696,0.89244,0.68436,0.80106,0.5112,1.08916,0.0010694,0.0010694,0.0010694
49,1301.25,0.75818,0.48458,1.03952,0.91338,0.83094,0.90147,0.67948,0.83136,0.57179,1.10933,0.0010496,0.0010496,0.0010496
50,1327.59,0.76962,0.48291,1.04548,0.94018,0.80435,0.86071,0.66009,0.82047,0.62073,1.10375,0.0010298,0.0010298,0.0010298
51,1353.91,0.75513,0.48136,1.04015,0.92895,0.84918,0.91803,0.71611,0.78351,0.53044,1.08104,0.00101,0.00101,0.00101
52,1380.64,0.76656,0.47221,1.03706,0.9534,0.83384,0.91354,0.70297,0.80085,0.52071,1.09931,0.0009902,0.0009902,0.0009902
53,1406.99,0.76661,0.46828,1.03316,0.91172,0.86277,0.91381,0.70775,0.77845,0.50869,1.0904,0.0009704,0.0009704,0.0009704
54,1433.38,0.74114,0.46558,1.03086,0.93022,0.85054,0.92281,0.70445,0.79615,0.48382,1.09554,0.0009506,0.0009506,0.0009506
55,1459.72,0.74374,0.46008,1.02533,0.95624,0.83123,0.91789,0.70701,0.8111,0.55534,1.07889,0.0009308,0.0009308,0.0009308
56,1486.09,0.73849,0.4517,1.01906,0.93871,0.85315,0.92112,0.70871,0.78256,0.50988,1.07118,0.000911,0.000911,0.000911
57,1512.51,0.7281,0.44298,1.01949,0.95149,0.84918,0.92963,0.7071,0.79501,0.48059,1.09099,0.0008912,0.0008912,0.0008912
58,1538.91,0.72315,0.44238,1.01524,0.95324,0.84918,0.92171,0.72316,0.73261,0.47081,1.04895,0.0008714,0.0008714,0.0008714
59,1565.63,0.72388,0.44283,1.00965,0.94847,0.82745,0.91574,0.70424,0.77277,0.50104,1.07002,0.0008516,0.0008516,0.0008516
60,1592.06,0.72634,0.44421,1.01362,0.94827,0.84511,0.91539,0.70632,0.79359,0.50565,1.08484,0.0008318,0.0008318,0.0008318
61,1618.39,0.70689,0.42407,1.00655,0.9636,0.83424,0.9191,0.71783,0.72758,0.45903,1.04653,0.000812,0.000812,0.000812
62,1644.75,0.70761,0.43254,1.00839,0.95262,0.85734,0.91985,0.71764,0.7365,0.46677,1.05274,0.0007922,0.0007922,0.0007922
63,1671.06,0.69623,0.43269,0.99981,0.95593,0.85477,0.92345,0.71938,0.73493,0.44227,1.06435,0.0007724,0.0007724,0.0007724
64,1697.43,0.69332,0.42407,1.00036,0.95587,0.85352,0.92141,0.73444,0.72631,0.4813,1.06215,0.0007526,0.0007526,0.0007526
65,1724.01,0.70494,0.42941,1.00106,0.96058,0.84918,0.92425,0.72694,0.74157,0.46416,1.05195,0.0007328,0.0007328,0.0007328
66,1750.41,0.67905,0.41205,0.99103,0.94253,0.86277,0.92391,0.71564,0.74136,0.46292,1.05522,0.000713,0.000713,0.000713
67,1776.72,0.68292,0.41359,1.00241,0.95278,0.84981,0.92561,0.7277,0.74426,0.44617,1.07171,0.0006932,0.0006932,0.0006932
68,1803.1,0.67296,0.40494,0.98843,0.95518,0.86876,0.93151,0.73322,0.73717,0.43054,1.06258,0.0006734,0.0006734,0.0006734
69,1829.39,0.67088,0.41103,0.98868,0.94489,0.87092,0.92755,0.72931,0.73888,0.45072,1.06329,0.0006536,0.0006536,0.0006536
70,1855.8,0.66378,0.40102,0.98305,0.94537,0.87908,0.93662,0.74167,0.72607,0.42794,1.04884,0.0006338,0.0006338,0.0006338
71,1882.37,0.66378,0.40158,0.98322,0.97401,0.87092,0.94285,0.7479,0.70926,0.41271,1.04463,0.000614,0.000614,0.000614
72,1909.1,0.66154,0.39934,0.98533,0.95457,0.885,0.93772,0.73851,0.7139,0.41682,1.03979,0.0005942,0.0005942,0.0005942
73,1935.46,0.63067,0.38488,0.97051,0.96115,0.87405,0.93664,0.73941,0.73262,0.42505,1.05771,0.0005744,0.0005744,0.0005744
74,1961.78,0.65243,0.38884,0.97647,0.96968,0.86904,0.93292,0.72437,0.73215,0.42317,1.06363,0.0005546,0.0005546,0.0005546
75,1988.08,0.64197,0.39187,0.98076,0.95597,0.875,0.93408,0.73775,0.72622,0.43889,1.05808,0.0005348,0.0005348,0.0005348
76,2014.45,0.63328,0.37913,0.97272,0.951,0.88043,0.9379,0.74413,0.7113,0.41186,1.03638,0.000515,0.000515,0.000515
77,2040.81,0.63919,0.38353,0.97763,0.95305,0.88256,0.93556,0.73871,0.72436,0.44001,1.05538,0.0004952,0.0004952,0.0004952
78,2067.17,0.63359,0.38459,0.97534,0.96288,0.88103,0.94397,0.74778,0.69617,0.39596,1.0371,0.0004754,0.0004754,0.0004754
79,2093.84,0.62483,0.37575,0.96408,0.95843,0.87772,0.93912,0.74701,0.70215,0.39392,1.044,0.0004556,0.0004556,0.0004556
80,2120.17,0.6211,0.3758,0.96058,0.97412,0.86926,0.93585,0.75007,0.69798,0.43416,1.04674,0.0004358,0.0004358,0.0004358
81,2146.73,0.61463,0.36655,0.96586,0.94829,0.87908,0.93962,0.74862,0.69331,0.42175,1.04205,0.000416,0.000416,0.000416
82,2173.11,0.60977,0.36231,0.95943,0.9582,0.86821,0.94005,0.74574,0.69683,0.40822,1.04738,0.0003962,0.0003962,0.0003962
83,2199.49,0.62007,0.35999,0.95766,0.96209,0.86957,0.93037,0.75173,0.68613,0.40736,1.03694,0.0003764,0.0003764,0.0003764
84,2226.13,0.59566,0.34948,0.94578,0.96371,0.86685,0.93761,0.74942,0.69758,0.41373,1.03387,0.0003566,0.0003566,0.0003566
85,2252.45,0.59174,0.35066,0.94307,0.94039,0.90029,0.94465,0.7588,0.68174,0.40817,1.02776,0.0003368,0.0003368,0.0003368
86,2279.18,0.58674,0.35147,0.94547,0.96425,0.87092,0.94775,0.75729,0.69516,0.40214,1.02971,0.000317,0.000317,0.000317
87,2305.48,0.59511,0.34552,0.94568,0.94121,0.89266,0.94628,0.75569,0.69961,0.43167,1.03534,0.0002972,0.0002972,0.0002972
88,2331.87,0.58036,0.34415,0.93135,0.94949,0.89385,0.9476,0.75469,0.70961,0.43906,1.04406,0.0002774,0.0002774,0.0002774
89,2358.13,0.58445,0.34378,0.94174,0.9642,0.87831,0.94599,0.75896,0.68159,0.40656,1.03401,0.0002576,0.0002576,0.0002576
