epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2287,1.14601,3.45594,1.31862,0.46607,0.33832,0.24332,0.12865,nan,nan,nan,0.00064,0.00064,0.00064
2,42.5357,1.30357,1.1162,1.41328,0.00014,0.01766,7e-05,2e-05,nan,nan,nan,0.00128713,0.00128713,0.00128713
3,57.9626,1.38316,1.13311,1.43602,0.06133,0.16984,0.03007,0.01253,2.28518,inf,3.63929,0.00192119,0.00192119,0.00192119
4,73.3352,1.37728,1.13538,1.43357,0.71564,0.20516,0.28484,0.14879,2.02592,28.1261,3.35646,0.0019406,0.0019406,0.0019406
5,88.9227,1.33285,1.04454,1.40024,0.3885,0.20372,0.18369,0.07839,3.02568,22.5175,3.08687,0.0019208,0.0019208,0.0019208
6,104.27,1.25543,0.95715,1.35828,0.72502,0.51359,0.58472,0.36086,1.40437,5.33343,1.77883,0.001901,0.001901,0.001901
7,119.729,1.19389,0.89234,1.31786,0.81567,0.52717,0.61466,0.3919,1.35179,3.83348,1.60692,0.0018812,0.0018812,0.0018812
8,135.155,1.16432,0.84525,1.30768,0.82718,0.65625,0.75633,0.45385,1.27549,1.36757,1.50467,0.0018614,0.0018614,0.0018614
9,150.609,1.16763,0.83668,1.29802,0.73125,0.57473,0.64412,0.409,1.31136,5.13812,1.52395,0.0018416,0.0018416,0.0018416
10,165.956,1.11567,0.7852,1.26166,0.7288,0.65357,0.68732,0.46638,1.0993,2.03196,1.33383,0.0018218,0.0018218,0.0018218
11,181.465,1.104,0.77905,1.25467,0.86569,0.69183,0.77886,0.53246,1.06261,1.68732,1.31703,0.001802,0.001802,0.001802
12,196.892,1.04923,0.74074,1.21551,0.88716,0.7337,0.81644,0.56603,1.06859,1.1292,1.32163,0.0017822,0.0017822,0.0017822
13,212.387,1.04722,0.71261,1.20869,0.88526,0.74728,0.80473,0.54991,1.08825,1.33718,1.28946,0.0017624,0.0017624,0.0017624
14,227.718,1.06999,0.71546,1.22507,0.86728,0.69837,0.76941,0.52854,1.0573,1.58771,1.256,0.0017426,0.0017426,0.0017426
15,243.075,1.0283,0.69506,1.21155,0.81684,0.70109,0.77484,0.54257,1.05725,1.45259,1.30513,0.0017228,0.0017228,0.0017228
16,258.404,1.00435,0.66989,1.19175,0.85627,0.6712,0.74402,0.49157,1.22578,1.21674,1.47617,0.001703,0.001703,0.001703
17,273.743,1.01302,0.6805,1.20679,0.78887,0.65625,0.72778,0.48844,1.19534,1.02218,1.33544,0.0016832,0.0016832,0.0016832
18,289.041,0.98821,0.6488,1.17914,0.89213,0.73041,0.82761,0.59067,0.98495,0.72002,1.21712,0.0016634,0.0016634,0.0016634
19,304.477,0.97569,0.63644,1.16254,0.92027,0.77174,0.85583,0.62462,0.92174,0.719,1.1975,0.0016436,0.0016436,0.0016436
20,319.907,0.95596,0.62628,1.15496,0.90717,0.79663,0.86706,0.6226,0.91602,0.63162,1.2265,0.0016238,0.0016238,0.0016238
21,335.242,0.95675,0.64128,1.16331,0.86662,0.77684,0.83214,0.59897,0.97755,0.73573,1.22716,0.001604,0.001604,0.001604
22,350.608,0.93513,0.62453,1.14887,0.88101,0.78533,0.86565,0.61702,0.93804,0.70375,1.20231,0.0015842,0.0015842,0.0015842
23,365.909,0.92835,0.5941,1.14683,0.88953,0.66984,0.74437,0.52172,1.06227,0.90618,1.30741,0.0015644,0.0015644,0.0015644
24,381.267,0.91362,0.58255,1.14315,0.91157,0.81234,0.87352,0.64654,0.89627,0.6414,1.17815,0.0015446,0.0015446,0.0015446
25,396.695,0.90436,0.58343,1.14006,0.9113,0.7106,0.78723,0.58221,0.96358,0.89523,1.22588,0.0015248,0.0015248,0.0015248
26,412.061,0.89264,0.57302,1.11598,0.9515,0.79968,0.88673,0.63647,0.91591,0.70754,1.19603,0.001505,0.001505,0.001505
27,427.439,0.87639,0.5645,1.1133,0.90098,0.80359,0.88237,0.64369,0.89292,0.62512,1.18759,0.0014852,0.0014852,0.0014852
28,442.766,0.8972,0.57876,1.14006,0.90171,0.81522,0.88307,0.65782,0.86292,0.57224,1.17455,0.0014654,0.0014654,0.0014654
29,458.193,0.87892,0.55904,1.11566,0.90062,0.78804,0.86074,0.60847,0.97501,0.65807,1.22656,0.0014456,0.0014456,0.0014456
30,473.454,0.87802,0.54921,1.11931,0.90342,0.77174,0.85228,0.63775,0.89017,0.62413,1.18191,0.0014258,0.0014258,0.0014258
31,488.747,0.85573,0.53996,1.10064,0.92745,0.81629,0.87896,0.6471,0.93783,0.59741,1.21375,0.001406,0.001406,0.001406
32,504.086,0.86192,0.55158,1.1058,0.87853,0.78261,0.86788,0.61736,0.93327,0.68674,1.19118,0.0013862,0.0013862,0.0013862
33,519.421,0.84121,0.52634,1.09305,0.91289,0.83152,0.90053,0.67142,0.89481,0.66377,1.16279,0.0013664,0.0013664,0.0013664
34,534.831,0.86095,0.53173,1.1021,0.93602,0.78533,0.88559,0.6522,0.87852,0.59547,1.16447,0.0013466,0.0013466,0.0013466
35,550.106,0.83185,0.51601,1.07609,0.92135,0.82772,0.88859,0.67071,0.85116,0.60042,1.16471,0.0013268,0.0013268,0.0013268
36,565.429,0.81308,0.51526,1.07673,0.92745,0.84647,0.91842,0.69466,0.82071,0.51986,1.1252,0.001307,0.001307,0.001307
37,580.838,0.81289,0.49963,1.06759,0.9434,0.81929,0.89686,0.67257,0.83752,0.54671,1.15197,0.0012872,0.0012872,0.0012872
38,596.09,0.81781,0.50976,1.08122,0.9412,0.80464,0.90034,0.67657,0.82302,0.52564,1.13014,0.0012674,0.0012674,0.0012674
39,611.377,0.8167,0.50931,1.07359,0.89751,0.84475,0.89474,0.67645,0.81247,0.62821,1.10811,0.0012476,0.0012476,0.0012476
40,626.67,0.80468,0.49275,1.07974,0.89911,0.85054,0.91109,0.68614,0.84853,0.57329,1.16196,0.0012278,0.0012278,0.0012278
41,641.918,0.78588,0.48095,1.06003,0.93503,0.84075,0.90673,0.6847,0.84173,0.55731,1.1302,0.001208,0.001208,0.001208
42,657.187,0.79763,0.49455,1.07548,0.92225,0.85417,0.90684,0.6785,0.82042,0.58235,1.13025,0.0011882,0.0011882,0.0011882
43,672.509,0.79432,0.48753,1.06723,0.93063,0.83851,0.90781,0.68862,0.82148,0.55148,1.12043,0.0011684,0.0011684,0.0011684
44,687.791,0.77403,0.47771,1.04802,0.93135,0.82954,0.90928,0.69925,0.78408,0.50989,1.10958,0.0011486,0.0011486,0.0011486
45,703.189,0.78449,0.47575,1.05377,0.9289,0.85207,0.90889,0.68984,0.79514,0.54971,1.11703,0.0011288,0.0011288,0.0011288
46,718.471,0.75793,0.46462,1.04458,0.92819,0.86005,0.9164,0.70381,0.80181,0.53893,1.10778,0.001109,0.001109,0.001109
47,733.862,0.76533,0.46579,1.04469,0.93091,0.86042,0.92195,0.71315,0.78334,0.53197,1.10831,0.0010892,0.0010892,0.0010892
48,749.267,0.76812,0.45618,1.0448,0.9527,0.8484,0.92319,0.69685,0.7915,0.50464,1.10757,0.0010694,0.0010694,0.0010694
49,764.536,0.75499,0.44781,1.03564,0.94197,0.86011,0.92087,0.70724,0.7706,0.4651,1.1041,0.0010496,0.0010496,0.0010496
50,779.768,0.74809,0.45074,1.04252,0.95287,0.8356,0.92226,0.70712,0.7776,0.48439,1.11991,0.0010298,0.0010298,0.0010298
51,795.027,0.74366,0.45012,1.02681,0.93149,0.8682,0.9246,0.70797,0.77954,0.5165,1.10827,0.00101,0.00101,0.00101
