epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9314,1.25111,2.4681,1.24621,0.00384,0.80842,0.22765,0.16142,1.24569,3.13643,1.21661,0.00064,0.00064,0.00064
2,31.4972,1.22128,1.45861,1.20608,0.15831,0.26087,0.08535,0.04651,1.53934,5.91643,1.53112,0.00128713,0.00128713,0.00128713
3,39.6489,1.29309,1.26082,1.24301,0.29613,0.24866,0.14571,0.07358,1.7644,2.65564,1.81458,0.00192119,0.00192119,0.00192119
4,47.9097,1.29888,1.14876,1.25973,0.78758,0.56422,0.62098,0.34654,1.51006,2.07501,1.60691,0.0019406,0.0019406,0.0019406
5,56.2295,1.27854,1.01852,1.24085,0.79735,0.51223,0.57272,0.32492,1.36485,2.50729,1.40144,0.0019208,0.0019208,0.0019208
6,64.2445,1.24673,0.92605,1.23069,0.80494,0.60553,0.67639,0.41223,1.30307,1.88696,1.33708,0.001901,0.001901,0.001901
7,72.4121,1.20187,0.87778,1.20809,0.86275,0.65489,0.72483,0.45562,1.26847,1.00234,1.32923,0.0018812,0.0018812,0.0018812
8,80.6233,1.16063,0.84813,1.18735,0.8916,0.69286,0.77428,0.50484,1.15628,1.24922,1.23068,0.0018614,0.0018614,0.0018614
9,88.8287,1.16625,0.82863,1.19904,0.87726,0.6087,0.71602,0.45297,1.14981,1.33783,1.25737,0.0018416,0.0018416,0.0018416
10,97.0663,1.12924,0.78384,1.18473,0.90757,0.7071,0.79326,0.48481,1.19805,1.1277,1.28517,0.0018218,0.0018218,0.0018218
11,105.061,1.1394,0.76948,1.18081,0.85449,0.70245,0.76166,0.49456,1.23971,0.87062,1.28668,0.001802,0.001802,0.001802
12,113.225,1.09321,0.75922,1.15313,0.87059,0.71298,0.79266,0.52753,1.12521,0.93114,1.22271,0.0017822,0.0017822,0.0017822
13,121.401,1.07266,0.74436,1.15035,0.85363,0.73777,0.7976,0.53612,1.00062,0.78548,1.14719,0.0017624,0.0017624,0.0017624
14,129.615,1.11243,0.7387,1.16944,0.88044,0.71739,0.78229,0.51496,1.13574,0.87237,1.22349,0.0017426,0.0017426,0.0017426
15,137.636,1.07191,0.70888,1.14442,0.88743,0.73907,0.81423,0.56345,1.01643,0.74398,1.15319,0.0017228,0.0017228,0.0017228
16,145.773,1.05322,0.6843,1.13871,0.8431,0.69357,0.76303,0.54575,1.01364,0.79492,1.13773,0.001703,0.001703,0.001703
17,153.938,1.02743,0.67627,1.12504,0.92169,0.71196,0.81931,0.5606,1.06679,0.74407,1.16913,0.0016832,0.0016832,0.0016832
18,162.167,1.0491,0.67547,1.14314,0.91417,0.75249,0.82625,0.57686,1.0195,0.69328,1.14979,0.0016634,0.0016634,0.0016634
19,170.228,1.02798,0.67126,1.12254,0.92806,0.75372,0.82849,0.56365,1.0542,0.70727,1.15286,0.0016436,0.0016436,0.0016436
20,178.459,1.02893,0.67187,1.11935,0.86362,0.77433,0.84032,0.59524,0.92982,0.66283,1.07601,0.0016238,0.0016238,0.0016238
21,186.712,1.03915,0.68035,1.12689,0.85365,0.77174,0.8415,0.58774,0.97422,0.65482,1.1124,0.001604,0.001604,0.001604
22,194.93,0.9883,0.64533,1.10921,0.88223,0.76334,0.85143,0.57652,0.99926,0.72105,1.15848,0.0015842,0.0015842,0.0015842
23,202.954,0.99581,0.6341,1.10433,0.93225,0.75136,0.81119,0.58383,0.98847,0.86447,1.11768,0.0015644,0.0015644,0.0015644
24,211.106,0.98393,0.63593,1.11022,0.92856,0.72407,0.84056,0.59983,1.00087,0.74955,1.14185,0.0015446,0.0015446,0.0015446
25,219.277,0.9866,0.62863,1.10733,0.87648,0.78093,0.8228,0.57757,0.97448,0.72562,1.11727,0.0015248,0.0015248,0.0015248
26,227.521,0.97177,0.61858,1.0892,0.93395,0.78771,0.87212,0.62333,0.92722,0.65095,1.11294,0.001505,0.001505,0.001505
27,235.582,0.96037,0.61008,1.09412,0.89441,0.80564,0.87342,0.60539,1.01025,0.68036,1.14046,0.0014852,0.0014852,0.0014852
28,243.789,0.965,0.61288,1.10535,0.88231,0.75679,0.81513,0.58545,0.99949,0.70383,1.13478,0.0014654,0.0014654,0.0014654
29,251.948,0.94671,0.5994,1.08364,0.90218,0.75183,0.83967,0.5834,0.93757,0.66718,1.09342,0.0014456,0.0014456,0.0014456
30,260.179,0.96139,0.6056,1.09308,0.92072,0.80435,0.8658,0.62699,0.92537,0.61021,1.07802,0.0014258,0.0014258,0.0014258
31,268.13,0.92046,0.57706,1.05936,0.92028,0.73913,0.83969,0.60796,1.00385,0.69861,1.13565,0.001406,0.001406,0.001406
