epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6955,2.26826,25.6334,2.55346,0.00126,0.22589,0.00089,0.00027,7.22742,inf,8.90969,0.00062,0.00062,0.00062
2,21.5503,2.76662,2.87451,2.82877,0,0,0,0,nan,nan,nan,0.00124753,0.00124753,0.00124753
3,29.6451,2.87677,2.54478,2.8701,0.01869,0.01015,0.003,0.00088,nan,nan,nan,0.00186238,0.00186238,0.00186238
4,38.9324,2.86846,2.5326,2.86836,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,49.5579,2.68039,2.15185,2.75211,0.7276,0.08814,0.09554,0.06462,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,58.8611,2.55627,2.04621,2.67728,0.42898,0.33249,0.3087,0.166,4.48445,17.8917,4.43588,0.001901,0.001901,0.001901
7,67.5082,2.4332,1.90677,2.5997,0.77344,0.69797,0.76007,0.45984,2.77462,3.35587,3.63584,0.0018812,0.0018812,0.0018812
8,75.4194,2.37052,1.81667,2.57189,0.74248,0.63959,0.73026,0.45496,2.47109,3.98346,3.03752,0.0018614,0.0018614,0.0018614
9,83.2695,2.26091,1.71593,2.50206,0.75898,0.81726,0.86534,0.58125,2.17804,2.62635,2.79265,0.0018416,0.0018416,0.0018416
10,91.3525,2.19995,1.64486,2.47953,0.89321,0.80671,0.90736,0.64724,1.87964,2.07563,2.52489,0.0018218,0.0018218,0.0018218
11,99.3029,2.19756,1.60962,2.46036,0.8887,0.82487,0.91125,0.63198,2.18636,1.49359,2.7851,0.001802,0.001802,0.001802
12,107.175,2.17011,1.58308,2.43087,0.87078,0.77411,0.87708,0.62244,2.05376,1.95968,2.66938,0.0017822,0.0017822,0.0017822
13,115.037,2.09927,1.50908,2.41015,0.94888,0.89511,0.96556,0.72584,1.83539,1.09112,2.44245,0.0017624,0.0017624,0.0017624
14,122.984,2.0715,1.4653,2.38374,0.87104,0.89594,0.94076,0.6943,1.77757,1.34249,2.4298,0.0017426,0.0017426,0.0017426
15,131.043,2.00421,1.41235,2.36332,0.85572,0.88071,0.93225,0.67608,1.84958,1.47043,2.45952,0.0017228,0.0017228,0.0017228
16,139.065,1.9833,1.4141,2.35106,0.90777,0.87437,0.95403,0.68073,1.99263,1.27517,2.59891,0.001703,0.001703,0.001703
17,146.908,1.95403,1.34842,2.32748,0.92655,0.92386,0.96139,0.69831,1.85478,1.18881,2.5216,0.0016832,0.0016832,0.0016832
18,154.758,1.92889,1.3731,2.32578,0.93313,0.92086,0.97282,0.74373,1.70509,1.01945,2.40133,0.0016634,0.0016634,0.0016634
19,162.707,1.95113,1.33109,2.31623,0.93269,0.90102,0.96608,0.73731,1.69537,0.90506,2.42215,0.0016436,0.0016436,0.0016436
20,170.744,1.85567,1.28785,2.29115,0.93621,0.93655,0.96878,0.74529,1.713,0.97756,2.38674,0.0016238,0.0016238,0.0016238
21,178.891,1.84498,1.26796,2.27421,0.91376,0.94122,0.98019,0.73962,1.82177,0.87281,2.48262,0.001604,0.001604,0.001604
22,186.83,1.8333,1.24911,2.26631,0.93407,0.92386,0.96855,0.73334,1.62273,0.91148,2.31464,0.0015842,0.0015842,0.0015842
23,194.893,1.77181,1.23196,2.22083,0.93838,0.94162,0.98211,0.76169,1.65525,0.82381,2.29921,0.0015644,0.0015644,0.0015644
24,202.838,1.77729,1.21183,2.2214,0.95713,0.93909,0.98532,0.76349,1.64432,0.78472,2.30955,0.0015446,0.0015446,0.0015446
25,210.809,1.76739,1.20692,2.22827,0.94572,0.9287,0.97841,0.7645,1.63184,0.85004,2.34179,0.0015248,0.0015248,0.0015248
26,218.718,1.75459,1.18989,2.20968,0.93563,0.95685,0.97851,0.76841,1.60287,0.85076,2.32392,0.001505,0.001505,0.001505
27,226.679,1.72436,1.16876,2.20287,0.94232,0.89594,0.9744,0.7481,1.64286,0.95608,2.32027,0.0014852,0.0014852,0.0014852
28,234.525,1.68498,1.16355,2.18306,0.93662,0.9467,0.98241,0.77774,1.57734,0.78747,2.26185,0.0014654,0.0014654,0.0014654
29,242.414,1.6763,1.11866,2.20299,0.94126,0.93535,0.97358,0.77232,1.56478,0.84706,2.26194,0.0014456,0.0014456,0.0014456
30,250.302,1.67076,1.14188,2.19274,0.95749,0.92386,0.977,0.77569,1.60319,0.82361,2.34558,0.0014258,0.0014258,0.0014258
31,258.173,1.66087,1.09448,2.15844,0.96269,0.91679,0.97598,0.75876,1.63517,0.85396,2.31807,0.001406,0.001406,0.001406
32,266.167,1.61931,1.0796,2.13672,0.94639,0.94162,0.97607,0.78123,1.56979,0.82056,2.25065,0.0013862,0.0013862,0.0013862
33,274.093,1.63233,1.10492,2.15161,0.93764,0.95404,0.97777,0.78231,1.54336,0.766,2.25157,0.0013664,0.0013664,0.0013664
34,282.011,1.59538,1.04186,2.14207,0.94851,0.93509,0.98304,0.77658,1.53203,0.75323,2.24606,0.0013466,0.0013466,0.0013466
35,289.891,1.60408,1.05767,2.15716,0.96315,0.95431,0.98536,0.79188,1.48176,0.73471,2.22176,0.0013268,0.0013268,0.0013268
36,297.832,1.59593,1.02613,2.12334,0.948,0.95431,0.98427,0.80254,1.51691,0.73223,2.28819,0.001307,0.001307,0.001307
37,305.794,1.54735,1.02064,2.1167,0.96987,0.94924,0.98908,0.80716,1.4417,0.73722,2.1868,0.0012872,0.0012872,0.0012872
38,313.696,1.52097,1.00717,2.10219,0.9444,0.94845,0.97891,0.79829,1.4404,0.70397,2.20467,0.0012674,0.0012674,0.0012674
39,321.545,1.51749,1.00201,2.10457,0.93549,0.95939,0.98113,0.78367,1.50359,0.72823,2.24746,0.0012476,0.0012476,0.0012476
40,329.375,1.51863,0.98413,2.1093,0.96611,0.94055,0.98219,0.8082,1.49729,0.69947,2.24305,0.0012278,0.0012278,0.0012278
41,337.27,1.49622,0.95164,2.07899,0.94923,0.94911,0.97891,0.79197,1.47342,0.73897,2.23825,0.001208,0.001208,0.001208
42,345.171,1.49319,0.98842,2.09661,0.96147,0.9499,0.98724,0.80797,1.45603,0.6803,2.23557,0.0011882,0.0011882,0.0011882
43,353.118,1.46202,0.94405,2.08302,0.97125,0.94315,0.98579,0.80313,1.46737,0.69516,2.24553,0.0011684,0.0011684,0.0011684
44,360.961,1.46802,0.93339,2.05574,0.97111,0.95178,0.98371,0.80847,1.46122,0.72411,2.26175,0.0011486,0.0011486,0.0011486
45,368.833,1.45555,0.92412,2.0532,0.96128,0.94514,0.98592,0.80272,1.4555,0.68193,2.25028,0.0011288,0.0011288,0.0011288
46,376.698,1.42784,0.93349,2.06252,0.98173,0.93401,0.98523,0.80224,1.45028,0.71647,2.19921,0.001109,0.001109,0.001109
47,384.663,1.40977,0.90722,2.03858,0.94563,0.96193,0.98298,0.81018,1.46233,0.73529,2.20524,0.0010892,0.0010892,0.0010892
48,392.791,1.39841,0.89448,2.03458,0.97582,0.92189,0.97998,0.80514,1.47446,0.69393,2.23688,0.0010694,0.0010694,0.0010694
49,401.007,1.40297,0.90857,2.04222,0.97897,0.94516,0.98924,0.82893,1.42952,0.65263,2.22402,0.0010496,0.0010496,0.0010496
50,408.986,1.37893,0.88767,2.01693,0.95043,0.97318,0.98728,0.82341,1.4315,0.66744,2.21165,0.0010298,0.0010298,0.0010298
51,416.864,1.36453,0.88588,2.02642,0.96658,0.95417,0.98575,0.81367,1.48788,0.6842,2.24294,0.00101,0.00101,0.00101
52,424.728,1.35924,0.85192,2.01311,0.97515,0.94924,0.98967,0.81605,1.48886,0.64788,2.22938,0.0009902,0.0009902,0.0009902
53,432.644,1.33644,0.85474,2.01232,0.9498,0.96034,0.98777,0.81039,1.42168,0.66847,2.20011,0.0009704,0.0009704,0.0009704
54,440.714,1.30847,0.81943,1.99475,0.94684,0.97462,0.98894,0.82296,1.40145,0.63528,2.18445,0.0009506,0.0009506,0.0009506
55,448.561,1.29516,0.82451,2.01069,0.96812,0.95178,0.98657,0.81508,1.41704,0.68788,2.16587,0.0009308,0.0009308,0.0009308
56,456.436,1.31328,0.84472,1.99786,0.97173,0.95981,0.99,0.81664,1.41762,0.65299,2.16532,0.000911,0.000911,0.000911
57,464.283,1.32207,0.82823,2.00374,0.96079,0.97462,0.98995,0.81869,1.42978,0.65594,2.22819,0.0008912,0.0008912,0.0008912
58,472.239,1.29069,0.83106,1.99857,0.95421,0.95207,0.98382,0.80808,1.41676,0.67929,2.20654,0.0008714,0.0008714,0.0008714
59,480.099,1.2606,0.79595,1.98449,0.97994,0.94416,0.98674,0.8198,1.43518,0.68108,2.21333,0.0008516,0.0008516,0.0008516
60,488.537,1.28942,0.81653,1.98112,0.95998,0.96701,0.98482,0.81577,1.37782,0.65903,2.18791,0.0008318,0.0008318,0.0008318
61,496.613,1.24312,0.79382,1.96554,0.95976,0.96447,0.98648,0.82691,1.35544,0.62935,2.17361,0.000812,0.000812,0.000812
62,504.66,1.23655,0.792,1.96772,0.94374,0.97926,0.98859,0.8224,1.36899,0.63791,2.15504,0.0007922,0.0007922,0.0007922
63,512.58,1.23284,0.81698,1.96792,0.96168,0.9467,0.98583,0.82676,1.36715,0.68316,2.1791,0.0007724,0.0007724,0.0007724
64,520.447,1.22352,0.76724,1.96417,0.97372,0.95431,0.98953,0.82378,1.43507,0.67419,2.22932,0.0007526,0.0007526,0.0007526
65,528.353,1.26288,0.80344,1.97045,0.95239,0.96468,0.98348,0.8217,1.42285,0.65669,2.19755,0.0007328,0.0007328,0.0007328
66,536.217,1.21811,0.77728,1.96532,0.95631,0.95685,0.98366,0.81645,1.44857,0.68412,2.20228,0.000713,0.000713,0.000713
67,544.171,1.17938,0.74739,1.93895,0.97157,0.95407,0.98812,0.82197,1.40592,0.646,2.17293,0.0006932,0.0006932,0.0006932
68,552.231,1.19744,0.74513,1.93898,0.9837,0.95178,0.98789,0.81566,1.37836,0.63607,2.17057,0.0006734,0.0006734,0.0006734
69,560.164,1.18029,0.7682,1.95622,0.95969,0.96673,0.98469,0.81498,1.42614,0.65477,2.22376,0.0006536,0.0006536,0.0006536
70,568.025,1.15709,0.74634,1.93889,0.96623,0.9441,0.98294,0.81989,1.42931,0.66013,2.20151,0.0006338,0.0006338,0.0006338
71,575.858,1.15991,0.72672,1.93676,0.9666,0.96954,0.98825,0.82982,1.37548,0.61056,2.14688,0.000614,0.000614,0.000614
72,583.801,1.15444,0.73951,1.94034,0.96208,0.966,0.98692,0.8286,1.37561,0.64007,2.15811,0.0005942,0.0005942,0.0005942
73,591.692,1.13698,0.72412,1.92581,0.9563,0.96447,0.98934,0.82928,1.38156,0.63069,2.20743,0.0005744,0.0005744,0.0005744
74,600.12,1.10338,0.70207,1.90964,0.97207,0.97183,0.988,0.83222,1.36454,0.60609,2.16637,0.0005546,0.0005546,0.0005546
75,608.054,1.11164,0.6997,1.91823,0.96299,0.96193,0.9852,0.83551,1.3447,0.62824,2.14397,0.0005348,0.0005348,0.0005348
76,616.135,1.11018,0.69768,1.9184,0.96833,0.9467,0.9853,0.83753,1.33603,0.61851,2.15565,0.000515,0.000515,0.000515
77,624.451,1.06959,0.68023,1.89134,0.97498,0.95431,0.98578,0.831,1.40172,0.61943,2.18287,0.0004952,0.0004952,0.0004952
78,632.349,1.07552,0.68866,1.91297,0.97582,0.95939,0.98821,0.83922,1.34475,0.60294,2.14806,0.0004754,0.0004754,0.0004754
79,640.451,1.08041,0.69392,1.91467,0.96315,0.96447,0.98762,0.82918,1.34449,0.6173,2.17176,0.0004556,0.0004556,0.0004556
80,648.321,1.08304,0.69683,1.91714,0.97699,0.96701,0.98829,0.83212,1.32316,0.58497,2.1494,0.0004358,0.0004358,0.0004358
81,656.191,1.04316,0.66565,1.89979,0.96462,0.96887,0.98786,0.83562,1.34427,0.6043,2.18259,0.000416,0.000416,0.000416
82,664.063,1.0644,0.68613,1.92828,0.9768,0.96163,0.9896,0.83408,1.36154,0.60224,2.17378,0.0003962,0.0003962,0.0003962
