epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97091,1.06492,1.88859,1.24625,0.97574,0.3062,0.7154,0.46078,1.06804,2.70083,1.4348,0.00062,0.00062,0.00062
2,14.2677,1.09194,1.2498,1.24515,0.74861,0.46447,0.55326,0.30868,1.36168,2.10068,2.00132,0.00124753,0.00124753,0.00124753
3,18.6989,1.14266,1.12697,1.27961,0.45873,0.3198,0.28424,0.15483,2.21511,2.70331,2.45806,0.00186238,0.00186238,0.00186238
4,22.723,1.20285,1.08409,1.3143,0.67593,0.6723,0.68257,0.34595,1.80894,1.52206,2.37406,0.0019406,0.0019406,0.0019406
5,27.0203,1.14645,0.9706,1.28378,0.69457,0.62944,0.71241,0.41356,1.39295,3.30852,1.78479,0.0019208,0.0019208,0.0019208
6,31.4344,1.09875,0.89811,1.25414,0.79232,0.62437,0.72063,0.44076,1.52016,1.50642,1.75964,0.001901,0.001901,0.001901
7,35.6236,1.0842,0.8581,1.2399,0.84595,0.89201,0.92165,0.62855,1.12264,0.95601,1.45572,0.0018812,0.0018812,0.0018812
8,39.648,1.04897,0.81974,1.23179,0.87641,0.86548,0.92693,0.59831,1.22254,0.8323,1.44922,0.0018614,0.0018614,0.0018614
9,43.5883,1.00566,0.77066,1.20032,0.83456,0.84502,0.90278,0.64053,1.0168,0.87283,1.34118,0.0018416,0.0018416,0.0018416
10,47.5766,0.99143,0.75589,1.19343,0.90327,0.78208,0.87275,0.57273,1.22272,1.06695,1.57407,0.0018218,0.0018218,0.0018218
11,51.659,0.97568,0.73542,1.18567,0.89587,0.93893,0.96012,0.69472,0.94628,0.67871,1.25552,0.001802,0.001802,0.001802
12,55.6786,0.9781,0.71911,1.17322,0.91766,0.91624,0.9586,0.71395,0.95929,0.7655,1.30964,0.0017822,0.0017822,0.0017822
13,59.9278,0.95134,0.69404,1.17249,0.92748,0.93909,0.96727,0.73694,0.90392,0.76511,1.22375,0.0017624,0.0017624,0.0017624
14,64.1951,0.92823,0.67806,1.15555,0.92121,0.9264,0.96248,0.70211,0.95195,0.61734,1.29046,0.0017426,0.0017426,0.0017426
15,68.4464,0.91366,0.64766,1.14553,0.90289,0.9467,0.95926,0.71531,0.91173,0.59485,1.22901,0.0017228,0.0017228,0.0017228
16,72.6475,0.90273,0.65188,1.13347,0.93383,0.93129,0.97047,0.71938,0.88874,0.64114,1.24218,0.001703,0.001703,0.001703
17,76.9978,0.89271,0.62384,1.13034,0.95302,0.93909,0.97704,0.72999,0.90845,0.56552,1.25098,0.0016832,0.0016832,0.0016832
18,80.9817,0.87107,0.61938,1.12005,0.95719,0.91117,0.96669,0.73836,0.87262,0.59657,1.23471,0.0016634,0.0016634,0.0016634
19,84.9881,0.87683,0.61719,1.12399,0.94502,0.91117,0.96751,0.71425,0.88811,0.65428,1.21136,0.0016436,0.0016436,0.0016436
20,88.9356,0.85892,0.6132,1.11665,0.94454,0.93147,0.97871,0.73726,0.89687,0.52798,1.22579,0.0016238,0.0016238,0.0016238
21,92.9163,0.84745,0.60049,1.10943,0.9497,0.96193,0.97852,0.75004,0.82559,0.54572,1.14787,0.001604,0.001604,0.001604
22,96.9436,0.85783,0.60415,1.11685,0.94816,0.9285,0.9754,0.75984,0.80602,0.5277,1.16977,0.0015842,0.0015842,0.0015842
23,101.258,0.81299,0.58459,1.08093,0.97595,0.92697,0.98063,0.77693,0.77064,0.48459,1.13487,0.0015644,0.0015644,0.0015644
24,105.443,0.82308,0.58137,1.09194,0.96078,0.93909,0.97651,0.75677,0.83468,0.53659,1.19892,0.0015446,0.0015446,0.0015446
